_id,issue_type,priority,components
58bfcde90ccb2667fe26e6ce,New Feature,Major,['jute']
58bfce900ccb2667fe26f23d,Bug,Major,['server']
58bfce9b0ccb2667fe26f33b,New Feature,Major,['server']
58bfcea60ccb2667fe26f498,Improvement,Minor,['contrib']
58bfcec50ccb2667fe26f81f,Improvement,Minor,['server']
58bfcefe0ccb2667fe26fc20,Bug,Critical,[]
58bfcf100ccb2667fe26fd29,Bug,Major,['leaderElection']
58bfcf5d0ccb2667fe27061f,Bug,Major,[]
58bfcfda0ccb2667fe2713ec,Improvement,Major,"['java client', 'c client', 'server']"
58bfcff70ccb2667fe2714bd,Bug,Major,"['java client', 'c client', 'server']"
58bfd0060ccb2667fe2715f4,Bug,Minor,"['c client', 'contrib-bindings']"
58bfd00a0ccb2667fe271627,Bug,Minor,['quorum']
58bfd0180ccb2667fe271823,Improvement,Major,['recipes']
58bfd0270ccb2667fe271948,Improvement,Major,"['c client', 'java client']"
58bfd0380ccb2667fe271b87,Bug,Major,['server']
58bfd0b10ccb2667fe27275d,Bug,Minor,['recipes']
58bfd1030ccb2667fe272fa3,Bug,Minor,['c client']
58bfd1e00ccb2667fe274084,Sub-task,Minor,['server']
58bfd2110ccb2667fe274607,Bug,Major,['contrib-bindings']
58bfd21b0ccb2667fe274736,Bug,Major,['documentation']
58bfd2240ccb2667fe274895,Improvement,Major,['c client']
58bfd2330ccb2667fe274a3a,Bug,Critical,['server']
58bfd2ae0ccb2667fe275723,Bug,Major,[]
58bfcb3f0ccb2667fe26aa89,Bug,Critical,[]
58bfcb710ccb2667fe26adce,Bug,Critical,['server']
58bfcb750ccb2667fe26ae1d,Bug,Major,[]
58bfcb7a0ccb2667fe26ae86,Sub-task,Major,['documentation']
58bfcb7b0ccb2667fe26ae9a,Sub-task,Major,['build']
58bfcb7f0ccb2667fe26aef3,Bug,Major,['contrib-bookkeeper']
58bfcb810ccb2667fe26af1e,New Feature,Major,['build']
58bfcb830ccb2667fe26af6c,Improvement,Minor,['contrib-bookkeeper']
58bfcbcc0ccb2667fe26b5c5,New Feature,Major,['quorum']
58bfcffe0ccb2667fe27153e,Bug,Major,"['quorum', 'server']"
